Auction No,Issue date,Amount offered in Auction,Total bids (Competitive & Uncompetitive), Over/(Under) Subscribed ,   Face Value ,   Cost Value ,   Interest due , Date due,Duration,Implicit annual,Clearing ,Lowest Factor ,Weighted Average Price,Average Discount Factor,Money Market yield,Annualised , Rejected Amount ,Bid-to-cover
,-1, (1a) , (1b) ,,-2,-3,-4,-5,-6,-9,-10,-11,-12,-13,,,,
594,15-Sep-04,"6,000,000,000","9,426,100,000","3,426,100,000","6,000,000,000","5,746,452,357","253,547,643",31-Mar-05,182,,,,95.774,8.475,,8.849,"2,166",
595,29-Sep-04,"6,000,000,000","6,774,500,000","774,500,000","6,000,000,000","5,737,222,871","262,777,129",01-Jul-00,182,,,,95.62,8.783,,9.186,"2,083",
,,,,,,,,,,,,,,,,,,
596,13-Oct-04,"6,000,000,000","6,000,000,000", -   ,"6,000,000,000","5,739,234,540","260,765,460",25-Apr-05,182,,,,95.654,8.716,,9.112,"2,100",
597,24-Oct-04,"6,000,000,000","7,076,800,000","1,076,800,000","6,000,000,000","5,677,655,300","322,344,700",25-Apr-05,182,,,,94.628,10.774,,11.386,"1,661",
,,,,,,,,,,,,,,,,,,
598,10-Nov-04,"5,000,000,000","11,232,400,000","6,232,400,000","5,000,000,000","4,720,709,822","279,290,178",26-May-05,182,,,,94.414,11.202,,11.865,"1,590",
599,24-Nov-04,"5,000,000,000","9,224,600,000","4,224,600,000","5,000,000,000","4,713,095,754","286,904,246",01-Jul-00,182,,,,94.262,11.508,,12.208,"1,542",
,,,,,,,,,,,,,,,,,,
600,08-Dec-04,"5,000,000,000","12,733,600,000","7,733,600,000","5,000,000,000","470,289,948","4,529,710,052",23-Jun-05,182,,,,9.406,181.686,,1931.64,-90,
601,22-Dec-04,"5,000,000,000","10,305,300,000","5,305,300,000","5,000,000,000","4,700,269,446","299,730,554",01-Jul-00,182,,,,94.005,12.022,,12.789,"1,468",
,,,,,,,,,,,,,,,,,,
602,05-Jan-05,"5,000,000,000","10,241,200,000","5,241,200,000","5,000,000,000","4,704,793,616","295,206,384",21-Jul-05,182,,,,94.096,11.841,,12.584,"1,493",
603,19-Jan-05,"5,000,000,000","14,416,100,000","9,416,100,000","5,000,000,000","4,713,805,168","286,194,832",01-Jul-00,182,,,,94.276,11.479,,12.176,"1,547",
,,,,,,,,,,,,,,,,,,
604,02-Feb-05,"5,000,000,000","11,043,000,000","6,043,000,000","5,000,000,000","4,722,357,259","277,642,741",18-Aug-05,182,,,,94.447,11.136,,11.791,"1,600",
605,16-Feb-05,"6,000,000,000","20,084,800,000","14,084,800,000","5,999,900,000","5,678,890,875","321,009,125",01-Jul-00,182,,,,94.65,10.73,,11.336,"1,669",
,,,,,,,,,,,,,,,,,,
606,02-Mar-05,"12,000,000,000","21,126,100,000","9,126,100,000","12,000,000,000","11,375,786,940","624,213,060",15-Sep-05,182,,,,94.798,10.432,,11.005,"1,722",
607,16-Mar-05,"12,000,000,000","19,671,600,000","7,671,600,000","12,000,000,000","11,393,178,714","606,821,286",29-Sep-05,182,,,,94.943,10.141,,10.682,"1,777",
608,30-Mar-05,"12,000,000,000","15,041,100,000","3,041,100,000","12,000,000,000","11,395,273,366","604,726,634",01-Jul-00,182,,,,94.961,10.106,,10.643,"1,784",
,,,,,,,,,,,,,,,,,,
609,13-Apr-05,"10,000,000,000","18,945,100,000","8,945,100,000","10,000,000,000","9,498,772,399","501,227,601",27-Oct-05,182,,,,94.988,10.052,,10.583,"1,795",
610,27-Apr-05,"8,000,000,000","11,200,000,000","3,200,000,000","8,000,000,000","7,589,135,282","410,864,718",01-Jul-00,182,,,,94.864,10.3,,10.857,"1,747",
,,,,,,,,,,,,,,,,,,
611,11-May-05,"9,000,000,000","12,244,900,000","3,244,900,000","9,000,000,000","8,554,022,157","445,977,843",01-Jul-00,182,,,,95.045,9.938,,10.456,"1,817",
612,25-May-05,"10,000,000,000","12,639,000,000","2,639,000,000","10,000,000,000","9,491,014,804","508,985,196",01-Jul-00,182,,,,94.91,10.208,,10.755,"1,764",
,,,,,,,,,,,,,,,,,,
613,08-Jun-05,"10,000,000,000","13,296,000,000","3,296,000,000","10,000,000,000","9,494,041,294","505,958,706",22-Dec-05,182,,,,94.94,10.147,,10.688,"1,776",
614,22-Jun-05,"9,000,000,000","15,814,900,000","6,814,900,000","9,000,000,000","8,543,782,510","456,217,490",01-Jul-00,182,,,,94.931,10.166,,10.709,"1,772",
